x,y,colour
399.71875,256.4375,-79826
358.78125,212.96875,-13524140
296.4375,274.9375,-13524140
332.4375,246.53125,-13524140
318.875,253.6875,-13524140
315.375,134.46875,-2286473
269.375,305.46875,-13524140
302.5625,283.09375,-4226771
370.625,213.9375,-2286473
400.6875,256.6875,-13524140
334.875,218.59375,-13524140
344.84375,221.34375,-13532483
287.9375,253.875,-13524140
165.40625,200.625,-13524140
327.65625,247.03125,-79826
328.5,246.9375,-79826
389.34375,249.75,-79826
312.875,268.25,-13532483
300.40625,276.59375,-13524140
106.84375,303.625,-79826
174.21875,212.1875,-13524140
293.9375,281.625,-13524140
293.125,277.53125,-13524140
288.5,253.0625,-13532483
400.0625,255.875,-13532483
296.03125,275.75,-13524140
296.4375,275.625,-4226771
288.875,248.53125,-4226771
292.1875,313.09375,-79826
336.40625,220.03125,-13532483
97.0625,345.84375,-79826
283.71875,234.84375,-79826
106.625,302.875,-79826
274.78125,177.3125,-13532483
283.6875,235.375,-79826
289.125,245.28125,-13524140
322.5,231.71875,-13524140
319.375,262.5,-2286473
342.5625,357.75,-4226771
176.65625,195.625,-2286473
314.40625,249.21875,-13524140
322.71875,231.25,-13524140
327.59375,246.75,-13524140
328.125,250.3125,-79826
359.59375,126.1875,-79826
312.65625,248.1875,-13532483
397.90625,186.59375,-13524140
351.3125,160.6875,-2286473
336.34375,252.375,-13532483
341.03125,201.53125,-13524140
341.03125,201.53125,-13524140
351.3125,160.6875,-2286473
362.75,286.90625,-13524140
300.0,251.625,-13532483
327.03125,234.5,-79826
400.84375,256.5,-79826
405.15625,252.25,-79826
391.375,93.875,-13532483
338.9375,231.375,-79826
310.8125,257.25,-13524140
370.6875,213.84375,-13524140
271.5,358.96875,-13524140
370.6875,213.84375,-13524140
311.625,252.375,-79826
355.34375,216.375,-13532483
321.78125,257.625,-4226771
327.84375,250.4375,-79826
354.8125,214.28125,-13532483
328.0,250.375,-4226771
288.84375,248.0,-13524140
316.78125,262.5,-13524140
329.125,243.875,-4226771
336.34375,220.09375,-4226771
221.53125,219.625,-79826
400.15625,256.0,-79826
307.1875,245.78125,-4226771
249.71875,221.9375,-13532483
401.65625,123.09375,-13524140
295.125,247.6875,-79826
382.9375,121.34375,-13524140
362.40625,403.5625,-13524140
324.4375,250.03125,-79826
319.65625,222.875,-13524140
311.40625,252.375,-79826
399.875,256.15625,-79826
329.9375,244.375,-79826
329.375,251.40625,-13532483
340.375,261.21875,-2286473
324.25,255.1875,-4226771
399.875,256.21875,-79826
312.65625,248.1875,-13532483
302.21875,253.0,-2286473
400.0,256.0,-2286473
399.875,256.15625,-79826
271.78125,230.15625,-13532483
327.59375,246.75,-2286473
399.9375,256.4375,-79826
314.5,260.28125,-79826
314.5,260.28125,-79826
321.78125,257.0625,-2286473
313.4375,249.59375,-2286473
400.78125,256.5625,-79826
306.0625,253.75,-13524140
285.8125,203.59375,-13524140
322.5625,333.375,-13524140
322.84375,231.125,-13524140
346.65625,221.9375,-13524140
322.71875,231.125,-13524140
310.8125,266.875,-13532483
324.15625,265.4375,-4226771
399.9375,256.125,-79826
435.65625,93.96875,-13532483
281.8125,309.5625,-13532483
394.21875,261.15625,-13532483
399.59375,256.5625,-79826
305.9375,151.34375,-13524140
305.9375,151.34375,-13524140
311.96875,252.4375,-79826
322.5625,333.375,-13524140
399.71875,256.4375,-79826
399.875,256.21875,-79826
288.5625,251.5625,-13532483
106.75,302.8125,-79826
312.9375,248.59375,-2286473
106.5625,302.875,-79826
107.25,302.25,-79826
400.21875,255.9375,-79826
399.875,256.15625,-79826
333.71875,233.59375,-79826
302.21875,253.0,-2286473
104.3125,332.25,-79826
310.4375,222.375,-13524140
302.21875,253.0,-2286473
322.4375,231.3125,-13524140
330.625,242.59375,-4226771
291.5,243.90625,-79826
399.53125,256.40625,-79826
400.21875,256.125,-79826
346.4375,225.6875,-13524140
330.15625,242.0,-13524140
350.96875,249.40625,-13532483
356.8125,212.0,-2286473
419.90625,244.0,-79826
328.1875,246.03125,-79826
351.3125,160.6875,-2286473
328.5,246.75,-79826
327.15625,247.03125,-79826
288.03125,245.125,-13532483
344.84375,221.34375,-13532483
327.3125,247.03125,-79826
328.1875,246.3125,-79826
322.0,234.0,-4226771
328.5,246.9375,-79826
322.21875,326.0625,-13524140
328.34375,247.03125,-79826
314.84375,260.4375,-13524140
106.75,302.71875,-79826
399.53125,256.34375,-79826
322.71875,331.34375,-13524140
400.21875,255.9375,-79826
200.75,204.78125,-13524140
106.5625,302.875,-79826
309.46875,281.15625,-2286473
326.46875,208.90625,-2286473
344.84375,221.34375,-13532483
328.0625,247.03125,-79826
327.5625,246.8125,-79826
328.1875,246.9375,-79826
397.78125,256.15625,-13524140
328.34375,246.6875,-79826
327.59375,246.9375,-79826
328.6875,246.59375,-79826
106.90625,303.0625,-79826
339.125,234.84375,-13524140
365.25,107.3125,-13524140
107.1875,302.59375,-79826
335.78125,218.0,-13524140
108.21875,274.875,-79826
279.40625,364.375,-13524140
289.28125,251.1875,-79826
354.59375,213.125,-13524140
329.25,249.6875,-79826
348.6875,314.4375,-2286473
322.6875,231.40625,-13524140
319.65625,253.875,-13524140
306.0625,253.75,-13524140
319.4375,265.78125,-13524140
322.28125,262.1875,-2286473
366.625,105.375,-79826
338.84375,222.65625,-79826
302.3125,253.40625,-13524140
344.625,199.53125,-79826
302.3125,253.5,-79826
106.53125,298.34375,-13524140
328.21875,250.03125,-79826
321.59375,260.84375,-2286473
318.875,253.6875,-13524140
313.59375,240.8125,-13532483
310.71875,282.28125,-13524140
335.71875,263.25,-13524140
338.59375,222.5625,-13524140
178.96875,201.40625,-13532483
347.96875,162.1875,-13532483
343.75,253.5625,-2286473
348.53125,224.75,-13532483
313.84375,252.59375,-13524140
316.71875,209.78125,-79826
115.3125,171.65625,-2286473
370.25,213.375,-13532483
436.0,216.1875,-4226771
315.53125,259.15625,-4226771
250.15625,405.15625,-13532483
327.15625,232.59375,-13532483
295.28125,257.90625,-79826
326.375,233.78125,-13532483
336.5,265.59375,-13532483
319.96875,223.0,-13524140
399.375,254.5,-79826
106.5625,303.0625,-79826
313.78125,252.53125,-13524140
328.28125,249.9375,-13524140
339.1875,234.78125,-79826
350.28125,144.34375,-79826
323.6875,252.09375,-13524140
322.78125,258.5625,-13532483
350.21875,157.9375,-13532483
323.125,231.25,-13524140
339.84375,229.34375,-13524140
317.40625,257.90625,-13524140
322.78125,258.5625,-2286473
354.8125,214.28125,-13532483
354.59375,213.125,-2286473
318.875,233.4375,-13524140
401.0625,256.34375,-79826
396.8125,257.53125,-79826
344.90625,253.34375,-13532483
399.25,255.78125,-79826
354.8125,214.28125,-13532483
107.4375,303.0,-79826
308.5,267.1875,-13524140
318.59375,267.0625,-13524140
106.5625,303.0,-79826
354.8125,214.28125,-13532483
312.75,260.6875,-79826
312.96875,260.78125,-79826
332.71875,173.5625,-13524140
311.4375,252.1875,-4226771
344.09375,220.875,-13532483
106.40625,303.0,-79826
405.78125,241.9375,-13524140
390.9375,93.96875,-13524140
323.46875,243.75,-2286473
384.46875,269.15625,-13532483
390.125,251.0,-4226771
107.9375,302.03125,-13532483
106.5625,303.15625,-79826
376.375,249.40625,-79826
401.1875,256.5625,-79826
328.1875,231.3125,-13532483
314.34375,257.9375,-13532483
354.8125,214.28125,-2286473
283.625,235.375,-79826
283.71875,235.375,-79826
106.75,302.4375,-79826
314.21875,252.15625,-13524140
315.8125,231.59375,-13532483
105.90625,312.875,-79826
108.0,302.03125,-79826
314.5,260.0625,-4226771
297.15625,304.1875,-13532483
106.28125,302.1875,-79826
321.59375,232.375,-13524140
106.40625,302.03125,-79826
346.5,346.40625,-2286473
322.6875,231.40625,-13524140
273.1875,232.8125,-13524140
306.34375,285.125,-13524140
226.03125,368.34375,-13524140
269.09375,223.46875,-79826
341.09375,201.40625,-13524140
306.0,151.28125,-13524140
338.25,231.125,-13532483
318.125,231.84375,-13532483
354.8125,214.28125,-13532483
315.1875,231.59375,-13532483
320.5625,256.03125,-2286473
329.25,242.46875,-79826
328.1875,246.0625,-13524140
347.78125,220.4375,-13524140
326.375,234.84375,-13532483
335.65625,213.9375,-13524140
339.1875,234.6875,-13524140
374.53125,240.75,-13532483
382.65625,252.1875,-79826
322.21875,326.0625,-13524140
382.9375,242.0,-79826
330.78125,199.28125,-79826
293.25,248.59375,-13524140
291.15625,322.78125,-13532483
346.3125,233.84375,-2286473
317.0,239.9375,-13524140
256.46875,235.03125,-4226771
333.78125,237.3125,-13532483
106.75,302.8125,-79826
79.46875,314.84375,-2286473
250.4375,379.6875,-13524140
329.40625,213.84375,-79826
323.0625,230.65625,-13524140
315.59375,230.65625,-13532483
105.84375,303.4375,-4226771
338.03125,222.375,-79826
259.46875,279.875,-13524140
338.5625,222.78125,-79826
315.25,231.96875,-13532483
314.75,240.1875,-13532483
332.46875,190.625,-79826
332.46875,190.625,-79826
351.3125,160.6875,-2286473
179.40625,202.3125,-13524140
311.21875,252.1875,-13532483
325.6875,225.15625,-2286473
322.78125,231.59375,-13524140
352.03125,258.71875,-79826
351.9375,258.78125,-79826
106.53125,303.96875,-79826
106.75,302.8125,-79826
335.8125,233.4375,-79826
354.8125,214.28125,-13524140
81.96875,313.65625,-13524140
322.6875,231.4375,-13524140
354.8125,214.28125,-13524140
381.0,254.375,-79826
312.8125,248.34375,-2286473
338.71875,245.75,-2286473
334.75,247.5,-13532483
251.25,227.03125,-13532483
271.15625,234.15625,-4226771
329.71875,240.625,-4226771
314.625,259.59375,-13532483
358.78125,212.96875,-13524140
380.21875,120.40625,-2286473
316.09375,258.21875,-2286473
291.28125,243.75,-79826
291.28125,243.75,-13532483
289.84375,303.28125,-13524140
289.84375,303.28125,-13524140
289.84375,303.28125,-13524140
498.03125,191.8125,-13532483
263.59375,254.5,-13524140
373.875,92.71875,-13524140
399.375,254.5,-13524140
173.9375,214.28125,-4226771
303.0625,287.21875,-2286473
320.90625,253.0625,-2286473
304.375,242.125,-13524140
174.59375,199.59375,-4226771
186.40625,196.9375,-13532483
335.8125,215.0625,-13524140
173.9375,214.28125,-13532483
337.6875,181.5,-4226771
281.6875,282.4375,-79826
327.59375,250.625,-79826
235.3125,213.03125,-13524140
327.3125,250.4375,-79826
354.125,214.28125,-13524140
327.71875,250.625,-79826
327.59375,250.625,-79826
327.65625,250.625,-13532483
327.65625,250.5,-79826
327.5625,250.625,-13532483
327.71875,250.5625,-79826
347.96875,229.25,-13532483
327.71875,250.5,-13524140
327.59375,250.625,-79826
327.65625,250.625,-79826
327.78125,250.5625,-79826
316.21875,281.875,-13524140
327.5625,250.4375,-4226771
327.5,250.5625,-79826
316.15625,281.71875,-13524140
327.78125,250.5625,-79826
106.8125,302.75,-79826
327.5625,250.4375,-79826
327.71875,250.5625,-79826
327.71875,250.5625,-4226771
327.5,250.5625,-4226771
327.65625,250.5,-79826
310.4375,282.125,-2286473
327.4375,250.375,-13524140
310.53125,282.4375,-13524140
272.4375,271.1875,-2286473
310.65625,282.28125,-2286473
399.21875,256.4375,-13532483
318.3125,257.59375,-79826
173.8125,214.0,-2286473
311.28125,251.96875,-2286473
354.125,214.40625,-13532483
343.03125,254.03125,-2286473
355.34375,212.1875,-2286473
106.625,302.875,-2286473
497.96875,191.75,-13524140
173.8125,214.0,-4226771
339.5,252.1875,-13524140
351.3125,160.6875,-13532483
310.4375,243.65625,-13524140
323.75,226.75,-13532483
288.3125,249.59375,-4226771
341.09375,239.03125,-79826
347.78125,220.4375,-13524140
322.28125,231.59375,-13524140
339.1875,225.6875,-13524140
311.21875,158.375,-13532483
309.625,172.9375,-79826
497.96875,191.59375,-13524140
498.03125,191.78125,-13524140
321.3125,329.71875,-13524140
287.9375,253.875,-13524140
368.59375,238.53125,-13524140
497.96875,191.59375,-13524140
497.0625,193.53125,-4226771
317.0,239.9375,-13524140
347.09375,226.09375,-2286473
322.5625,231.25,-13524140
322.5625,231.4375,-13524140
347.90625,224.125,-79826
498.03125,191.78125,-2286473
271.3125,234.125,-4226771
314.0625,250.5,-13524140
106.6875,303.0625,-13532483
344.09375,225.3125,-4226771
498.03125,191.78125,-13524140
106.5625,303.09375,-79826
288.5625,245.15625,-4226771
176.8125,204.09375,-13532483
108.625,303.71875,-79826
106.75,302.8125,-79826
348.40625,247.03125,-13524140
348.40625,247.03125,-2286473
287.40625,245.34375,-4226771
351.375,247.28125,-2286473
287.40625,245.34375,-2286473
287.40625,245.34375,-13524140
335.59375,234.0625,-13532483
335.59375,234.0625,-79826
337.0625,233.5625,-2286473
348.40625,247.03125,-13524140
342.1875,190.5625,-13524140
273.34375,232.8125,-13532483
397.78125,256.15625,-2286473
383.28125,221.625,-13524140
319.96875,255.9375,-2286473
399.09375,257.03125,-13524140
341.21875,213.125,-79826
322.84375,231.59375,-13524140
106.5625,302.375,-79826
319.15625,237.3125,-13532483
434.8125,191.25,-79826
336.34375,252.375,-13524140
319.375,242.40625,-79826
329.1875,246.9375,-13532483
301.96875,253.09375,-13524140
398.75,257.03125,-13532483
321.5,253.0625,-13524140
311.15625,262.75,-13524140
319.71875,256.125,-13532483
322.71875,232.03125,-4226771
322.71875,231.84375,-13532483
323.53125,255.875,-13524140
132.03125,66.3125,-13524140
285.25,262.40625,-13524140
344.84375,221.34375,-13532483
288.4375,249.6875,-79826
332.03125,233.03125,-13524140
106.6875,302.59375,-79826
344.4375,197.75,-13524140
323.25,231.96875,-13524140
323.34375,231.96875,-13524140
323.3125,231.71875,-13524140
298.40625,238.59375,-13524140
323.25,231.59375,-13524140
323.3125,231.4375,-13524140
310.59375,282.21875,-13532483
300.21875,127.375,-79826
382.4375,237.71875,-13524140
289.84375,303.28125,-13524140
332.09375,233.03125,-13524140
347.6875,161.78125,-13532483
323.3125,231.84375,-13524140
270.75,217.28125,-13524140
322.21875,326.0625,-13524140
370.25,213.375,-13532483
350.96875,218.125,-13532483
106.75,302.71875,-79826
261.6875,222.5,-13532483
106.6875,302.8125,-79826
437.65625,229.53125,-13532483
221.78125,218.75,-2286473
354.59375,213.125,-2286473
397.90625,186.59375,-13524140
306.0625,255.53125,-13532483
439.40625,228.09375,-13532483
106.5625,302.875,-79826
322.6875,262.1875,-2286473
106.5625,302.875,-79826
355.65625,170.21875,-13524140
289.84375,303.28125,-13524140
289.84375,303.28125,-13524140
322.21875,326.0625,-13524140
145.125,173.96875,-2286473
321.5,253.0625,-13524140
322.5625,333.375,-13524140
106.28125,302.4375,-79826
283.90625,235.3125,-79826
333.28125,332.9375,-13524140
323.40625,259.59375,-13532483
312.25,247.875,-13532483
341.5625,166.40625,-13524140
287.59375,248.09375,-13532483
343.03125,235.1875,-79826
322.5625,333.375,-13524140
322.5625,333.375,-13524140
351.53125,144.875,-2286473
321.3125,329.71875,-13524140
328.125,250.3125,-4226771
295.6875,248.78125,-13532483
106.5625,302.875,-79826
353.90625,271.0625,-2286473
322.0,234.0625,-13524140
281.84375,342.09375,-4226771
316.09375,286.90625,-4226771
105.9375,303.34375,-79826
81.25,295.15625,-13524140
388.9375,139.125,-13532483
332.78125,249.125,-79826
399.59375,256.21875,-79826
235.4375,212.90625,-13532483
338.5,221.875,-13524140
287.75,247.6875,-4226771
308.6875,252.15625,-13524140
316.09375,286.90625,-13532483
300.0625,274.53125,-79826
332.09375,250.3125,-79826
173.75,213.84375,-13524140
173.75,213.84375,-13524140
322.4375,231.71875,-13524140
399.5,256.28125,-79826
399.71875,256.21875,-79826
259.1875,280.15625,-2286473
306.46875,316.09375,-4226771
317.53125,134.46875,-2286473
106.75,302.65625,-79826
309.1875,242.875,-13524140
339.28125,245.84375,-2286473
79.46875,314.84375,-13524140
297.6875,282.03125,-13524140
346.59375,225.9375,-13524140
297.6875,282.09375,-13524140
283.28125,235.25,-79826
283.5625,234.625,-13532483
283.6875,234.84375,-79826
297.5625,282.03125,-13524140
320.28125,255.875,-13524140
283.78125,234.84375,-79826
330.09375,331.5625,-79826
283.78125,234.5625,-79826
283.625,234.90625,-13532483
283.84375,234.6875,-79826
283.6875,234.75,-79826
330.34375,254.28125,-13524140
268.8125,223.5625,-79826
310.59375,282.34375,-13532483
321.875,234.125,-4226771
321.9375,234.0625,-13524140
399.375,256.90625,-13532483
310.25,262.0,-13524140
311.34375,252.09375,-79826
370.1875,212.46875,-2286473
340.6875,232.84375,-13532483
259.1875,280.15625,-4226771
399.03125,258.03125,-79826
328.84375,244.65625,-79826
338.65625,272.65625,-13524140
338.65625,272.65625,-13524140
197.0,246.6875,-2286473
363.5625,289.3125,-13524140
328.625,250.65625,-79826
16.5,385.3125,-13532483
315.375,257.90625,-2286473
291.65625,173.5,-2286473
381.5625,228.5625,-13524140
341.5625,232.0,-79826
341.625,232.03125,-79826
105.84375,303.5625,-79826
328.8125,243.75,-79826
320.0625,242.875,-79826
322.6875,231.59375,-13532483
328.34375,243.78125,-79826
314.5,260.0625,-79826
328.6875,243.75,-79826
291.5625,252.1875,-2286473
173.75,213.84375,-13524140
327.65625,249.21875,-79826
322.0,234.125,-4226771
176.96875,214.53125,-13524140
400.40625,257.34375,-13532483
333.84375,232.59375,-13524140
340.3125,217.4375,-4226771
341.65625,241.78125,-4226771
329.09375,243.78125,-79826
173.1875,213.59375,-4226771
367.125,107.875,-79826
397.09375,257.25,-79826
322.6875,231.59375,-13524140
322.5,262.0625,-79826
328.1875,250.5625,-13524140
328.125,250.5,-13532483
498.1875,191.59375,-13532483
328.125,250.5625,-79826
322.0,251.0625,-13524140
399.375,254.5,-13524140
172.5,96.875,-13532483
354.8125,214.28125,-13532483
332.25,234.34375,-13524140
354.8125,214.28125,-13532483
326.3125,273.46875,-2286473
325.21875,266.375,-13524140
311.75,249.875,-2286473
328.0625,250.5,-79826
333.21875,252.03125,-79826
333.0625,251.96875,-79826
400.6875,256.6875,-79826
311.625,252.1875,-13524140
367.625,123.75,-13524140
322.78125,258.5625,-2286473
321.09375,239.03125,-13532483
281.8125,309.5625,-13532483
393.65625,253.0,-4226771
306.5625,151.21875,-2286473
179.40625,202.4375,-79826
329.09375,271.875,-79826
289.90625,303.28125,-13524140
275.21875,177.3125,-13524140
316.3125,228.96875,-13524140
297.625,290.96875,-2286473
298.53125,280.3125,-4226771
301.9375,277.15625,-13532483
297.40625,272.28125,-13524140
354.59375,213.125,-2286473
293.3125,284.15625,-13524140
299.21875,275.15625,-13524140
296.9375,276.25,-4226771
298.0,276.75,-2286473
337.40625,244.15625,-79826
291.625,270.65625,-13532483
350.96875,257.6875,-13524140
301.40625,275.78125,-13524140
293.71875,274.40625,-13532483
295.53125,268.59375,-13524140
105.03125,321.6875,-79826
310.59375,282.34375,-13524140
283.6875,235.0625,-79826
283.84375,235.03125,-79826
283.84375,234.84375,-13532483
346.78125,225.03125,-13524140
322.28125,262.1875,-79826
322.78125,231.125,-13524140
105.71875,303.5,-79826
332.4375,246.53125,-79826
106.5625,302.875,-79826
408.4375,99.71875,-13524140
268.4375,223.34375,-79826
161.84375,77.9375,-13524140
289.0,253.90625,-2286473
381.125,237.65625,-13524140
309.0625,265.59375,-79826
200.90625,286.5625,-2286473
378.28125,265.25,-13524140
328.125,250.3125,-79826
328.125,250.3125,-79826
300.0625,280.78125,-13532483
399.71875,256.21875,-79826
392.625,257.125,-13524140
259.1875,280.09375,-13524140
328.0625,250.5,-2286473
327.5625,255.28125,-4226771
344.625,221.53125,-13532483
314.40625,249.21875,-13532483
357.3125,211.4375,-2286473
310.59375,281.40625,-13524140
343.53125,223.90625,-79826
322.71875,231.5,-13524140
348.46875,226.4375,-13524140
331.0,253.0,-79826
287.03125,266.1875,-2286473
342.90625,229.53125,-79826
330.34375,254.28125,-13524140
390.9375,94.21875,-13524140
295.625,248.78125,-79826
339.78125,319.84375,-13524140
179.46875,202.375,-13524140
336.28125,319.3125,-79826
326.46875,238.0,-2286473
316.09375,258.21875,-2286473
335.65625,213.9375,-13524140
306.96875,255.4375,-2286473
302.09375,218.53125,-13524140
314.0,259.65625,-79826
348.96875,230.84375,-13524140
322.4375,231.375,-13524140
322.4375,231.75,-13524140
311.5625,247.9375,-4226771
362.03125,118.53125,-79826
319.96875,256.125,-2286473
328.40625,250.84375,-13524140
330.4375,254.375,-13524140
354.59375,213.125,-2286473
212.3125,254.84375,-2286473
326.46875,273.75,-4226771
287.9375,253.875,-13524140
287.9375,253.875,-2286473
285.53125,262.46875,-4226771
342.46875,164.9375,-4226771
285.375,262.75,-4226771
319.65625,262.84375,-2286473
311.75,247.875,-13532483
285.4375,262.34375,-4226771
314.90625,260.375,-13532483
332.4375,246.53125,-13524140
346.3125,158.09375,-79826
330.34375,244.15625,-79826
305.21875,255.28125,-13524140
303.625,253.90625,-13524140
325.96875,213.75,-13524140
399.15625,256.6875,-13532483
314.625,260.9375,-79826
354.8125,214.28125,-13532483
335.09375,262.28125,-79826
399.71875,256.21875,-79826
225.78125,355.78125,-2286473
326.46875,273.46875,-13524140
314.46875,169.21875,-13532483
259.34375,279.96875,-2286473
326.3125,273.5,-4226771
325.84375,225.875,-13524140
365.59375,261.9375,-79826
313.15625,249.0,-13524140
287.03125,266.1875,-13524140
342.21875,476.1875,-13532483
275.21875,177.3125,-13532483
303.6875,253.65625,-13524140
273.9375,232.96875,-13524140
106.625,302.9375,-79826
331.125,248.1875,-2286473
350.90625,268.96875,-13524140
249.25,221.9375,-13524140
249.25,221.9375,-13532483
383.34375,222.375,-13524140
312.875,248.78125,-13532483
335.21875,180.96875,-79826
321.8125,234.0625,-4226771
321.875,234.0625,-4226771
312.59375,248.09375,-13524140
374.25,263.71875,-2286473
276.875,257.8125,-13524140
320.90625,253.0625,-13524140
399.375,254.5,-13532483
276.03125,271.0,-79826
166.78125,189.9375,-2286473
166.90625,190.0,-13532483
289.90625,303.28125,-13524140
354.8125,214.28125,-13532483
330.15625,198.625,-79826
322.78125,231.84375,-13524140
312.65625,267.34375,-13524140
314.21875,249.9375,-2286473
322.84375,231.75,-13524140
106.5625,302.71875,-79826
106.5625,303.0625,-79826
299.65625,275.3125,-4226771
165.40625,200.625,-13532483
273.96875,233.15625,-2286473
296.78125,282.84375,-13524140
296.78125,269.84375,-4226771
354.59375,213.125,-2286473
344.5625,222.09375,-13524140
292.28125,289.90625,-13532483
397.90625,186.59375,-13524140
323.53125,172.5625,-13524140
326.25,273.46875,-13532483
323.53125,172.59375,-13524140
323.59375,172.59375,-13524140
323.59375,172.59375,-13524140
308.28125,264.59375,-79826
323.59375,172.59375,-13524140
350.125,216.71875,-13524140
323.53125,172.5,-13524140
323.53125,172.59375,-13524140
323.46875,172.78125,-13524140
350.5,235.1875,-13532483
279.75,319.3125,-13524140
323.75,172.5,-13524140
323.75,258.375,-13524140
323.53125,172.5,-13524140
312.40625,248.09375,-13532483
323.53125,172.5,-13524140
323.59375,172.59375,-13524140
